# expression,groundtruth
(- (((((b | b) << 1) - (b ^ b)) ^ ((~ (a - 1) & e) * (~ (a - 1) | e) + (~ (a - 1) & ~ e) * (~ (~ (a - 1)) & e))) + (((((b | b) << 1) - (b ^ b)) & ((~ (a - 1) & e) * (~ (a - 1) | e) + (~ (a - 1) & ~ e) * (~ (~ (a - 1)) & e))) + ((((b | b) << 1) - (b ^ b)) & ((~ (a - 1) & e) * (~ (a - 1) | e) + (~ (a - 1) & ~ e) * (~ (~ (a - 1)) & e))))) - 1) - 1,((~(-(~((b+b)+((-a)*e))))))
(e & ~ (((d - (- c - 1)) - 1) - 1)) + (((d - (- c - 1)) - 1) - 1),((e|(~(-(~((~c)-d))))))
~ ((((((d & a) * (d | a) + (d & ~ a) * (~ d & a)) - ((a & ~ a) - (~ a & a))) - ((((d & a) * (d | a) + (d & ~ a) * (~ d & a)) | ~ ((a & ~ a) - (~ a & a))) + (((d & a) * (d | a) + (d & ~ a) * (~ d & a)) | ~ ((a & ~ a) - (~ a & a))))) - 2) - 1),((-((d*a)^(a-a))))
((((c & ~ b) + b) - (- (((~ ((c & ~ c) + c) + 1) & ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) * ((~ ((c & ~ c) + c) + 1) | ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) + ((~ ((c & ~ c) + c) + 1) & ~ ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) * (~ (~ ((c & ~ c) + c) + 1) & ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a)))) - 1)) - ((((c & ~ b) + b) | ~ (- (((~ ((c & ~ c) + c) + 1) & ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) * ((~ ((c & ~ c) + c) + 1) | ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) + ((~ ((c & ~ c) + c) + 1) & ~ ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) * (~ (~ ((c & ~ c) + c) + 1) & ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a)))) - 1)) + (((c & ~ b) + b) | ~ (- (((~ ((c & ~ c) + c) + 1) & ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) * ((~ ((c & ~ c) + c) + 1) | ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) + ((~ ((c & ~ c) + c) + 1) & ~ ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a))) * (~ (~ ((c & ~ c) + c) + 1) & ((((b | b) - (b & b)) | a) - (((b | b) - (b & b)) & a)))) - 1)))) - 2,(((c|b)^(~((-(c|c))*((b^b)^a)))))
((((~ d | d) + d) + 1) & ~ ((((d & a) * (d | a) + (d & ~ a) * (~ d & a)) & ~ a) + a)) + ((((d & a) * (d | a) + (d & ~ a) * (~ d & a)) & ~ a) + a),(((d&d)|((d*a)|a)))
((((((c + 1) + d) + 1) + ((- (c + 1) - 1) | (- d - 1))) - (((((((~ d + 1) ^ ~ d) + (((~ d + 1) | d) << 1)) + 1) + ((((c - ~ c) - 1) ^ (((c + c) + 1) + ((- c - 1) | (- c - 1)))) - ((~ ((c - ~ c) - 1) & (((c + c) + 1) + ((- c - 1) | (- c - 1)))) << 1))) + 1) + ((- ((((~ d + 1) ^ ~ d) + (((~ d + 1) | d) << 1)) + 1) - 1) | (- ((((c - ~ c) - 1) ^ (((c + c) + 1) + ((- c - 1) | (- c - 1)))) - ((~ ((c - ~ c) - 1) & (((c + c) + 1) + ((- c - 1) | (- c - 1)))) << 1)) - 1)))) - ((((((c + 1) + d) + 1) + ((- (c + 1) - 1) | (- d - 1))) | ~ (((((((~ d + 1) ^ ~ d) + (((~ d + 1) | d) << 1)) + 1) + ((((c - ~ c) - 1) ^ (((c + c) + 1) + ((- c - 1) | (- c - 1)))) - ((~ ((c - ~ c) - 1) & (((c + c) + 1) + ((- c - 1) | (- c - 1)))) << 1))) + 1) + ((- ((((~ d + 1) ^ ~ d) + (((~ d + 1) | d) << 1)) + 1) - 1) | (- ((((c - ~ c) - 1) ^ (((c + c) + 1) + ((- c - 1) | (- c - 1)))) - ((~ ((c - ~ c) - 1) & (((c + c) + 1) + ((- c - 1) | (- c - 1)))) << 1)) - 1)))) + (((((c + 1) + d) + 1) + ((- (c + 1) - 1) | (- d - 1))) | ~ (((((((~ d + 1) ^ ~ d) + (((~ d + 1) | d) << 1)) + 1) + ((((c - ~ c) - 1) ^ (((c + c) + 1) + ((- c - 1) | (- c - 1)))) - ((~ ((c - ~ c) - 1) & (((c + c) + 1) + ((- c - 1) | (- c - 1)))) << 1))) + 1) + ((- ((((~ d + 1) ^ ~ d) + (((~ d + 1) | d) << 1)) + 1) - 1) | (- ((((c - ~ c) - 1) ^ (((c + c) + 1) + ((- c - 1) | (- c - 1)))) - ((~ ((c - ~ c) - 1) & (((c + c) + 1) + ((- c - 1) | (- c - 1)))) << 1)) - 1)))))) - 2,((((-(~c))|d)^(((-d)+d)|((c+c)-(c|c)))))
((((((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * ((((a & ~ d) + (a & ~ d)) - (a ^ d)) | (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) + ((((a & ~ d) + (a & ~ d)) - (a ^ d)) & ~ (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * (~ (((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2))) & ((((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) | (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))) - (((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) & (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))))) * ((((((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * ((((a & ~ d) + (a & ~ d)) - (a ^ d)) | (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) + ((((a & ~ d) + (a & ~ d)) - (a ^ d)) & ~ (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * (~ (((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2))) | ((((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) | (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))) - (((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) & (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))))) + ((((((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * ((((a & ~ d) + (a & ~ d)) - (a ^ d)) | (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) + ((((a & ~ d) + (a & ~ d)) - (a ^ d)) & ~ (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * (~ (((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2))) & ~ ((((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) | (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))) - (((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) & (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))))) * (~ (((((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * ((((a & ~ d) + (a & ~ d)) - (a ^ d)) | (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) + ((((a & ~ d) + (a & ~ d)) - (a ^ d)) & ~ (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) * (~ (((a & ~ d) + (a & ~ d)) - (a ^ d)) & (((a - b) - ((a | ~ b) + (a | ~ b))) - 2))) & ((((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) | (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))) - (((a & (((a - b) - ((a | ~ b) << 1)) - 2)) * (a | (((a - b) - ((a | ~ b) << 1)) - 2)) + (a & ~ (((a - b) - ((a | ~ b) << 1)) - 2)) * (~ a & (((a - b) - ((a | ~ b) << 1)) - 2))) & (((- b - 1) & ((d + ~ b) + 1)) * ((- b - 1) | ((d + ~ b) + 1)) + ((- b - 1) & ~ ((d + ~ b) + 1)) * (~ (- b - 1) & ((d + ~ b) + 1)))))),((((a-d)*(a^b))*((a*(a^b))^((~b)*(d-b)))))
(((~ ((e + ~ e) + 1) | (((e & ~ d) + (e & ~ d)) - (e ^ d))) - ~ ((e + ~ e) + 1)) ^ d) - ((~ ((~ ((e + ~ e) + 1) | (((e & ~ d) + (e & ~ d)) - (e ^ d))) - ~ ((e + ~ e) + 1)) & d) << 1),((((e-e)&(e-d))-d))
(b | (((a & ~ a) + a) + 1)) - (b & (((a & ~ a) + a) + 1)),((b^(-(~(a|a)))))
((a + 1) & (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)) * ((a + 1) | (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)) + ((a + 1) & ~ (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)) * (~ (a + 1) & (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)),(((-(~a))*(~(e*d))))
(((((a & a) * (a | a) + (a & ~ a) * (~ a & a)) | ~ ((((~ d | a) + d) + 1) - 1)) - (((a & a) * (a | a) + (a & ~ a) * (~ a & a)) & ~ ((((~ d | a) + d) + 1) - 1))) & ~ (((((d - ~ a) - 1) - ((d ^ d) - ((~ d & d) + (~ d & d)))) - ((((d - ~ a) - 1) | ~ ((d ^ d) - ((~ d & d) + (~ d & d)))) << 1)) - 2)) + (((((d - ~ a) - 1) - ((d ^ d) - ((~ d & d) + (~ d & d)))) - ((((d - ~ a) - 1) | ~ ((d ^ d) - ((~ d & d) + (~ d & d)))) << 1)) - 2),((((a*a)^(-(d&a)))|((d+a)^(d-d))))
((- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1) + ~ (((((((d + d) + 1) + ((- d - 1) | (- d - 1))) & ~ (- d - 1)) + (- d - 1)) | ((c & ~ c) + c)) - ((((((d + d) + 1) + ((- d - 1) | (- d - 1))) & ~ (- d - 1)) + (- d - 1)) & ((c & ~ c) + c)))) + 1,(((~(c*d))-(((d|d)|(~d))^(c|c))))
(((c ^ (((~ a | c) + a) + 1)) - ((~ c & (((~ a | c) + a) + 1)) << 1)) + ~ (((((~ c | (((a | a) + (a | a)) - (a ^ a))) + c) + 1) & c) * ((((~ c | (((a | a) + (a | a)) - (a ^ a))) + c) + 1) | c) + ((((~ c | (((a | a) + (a | a)) - (a ^ a))) + c) + 1) & ~ c) * (~ (((~ c | (((a | a) + (a | a)) - (a ^ a))) + c) + 1) & c))) + 1,(((c-(a&c))-((c&(a+a))*c)))
((((((~ (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1) | ~ (c - 1)) + (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1)) + 1) | d) - ((((~ (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1) | ~ (c - 1)) + (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1)) + 1) & d)) & ~ (((((e ^ d) - ((~ e & d) << 1)) + c) + 1) + ((- ((e ^ d) - ((~ e & d) << 1)) - 1) | (- c - 1)))) - (~ (((((~ (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1) | ~ (c - 1)) + (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1)) + 1) | d) - ((((~ (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1) | ~ (c - 1)) + (- ((c & d) * (c | d) + (c & ~ d) * (~ c & d)) - 1)) + 1) & d)) & (((((e ^ d) - ((~ e & d) << 1)) + c) + 1) + ((- ((e ^ d) - ((~ e & d) << 1)) - 1) | (- c - 1)))),(((((~(c*d))&(-c))^d)-((e-d)|c)))
~ (((a - ((a & ~ (~ a + 1)) + (~ a + 1))) - ((a | ~ ((a & ~ (~ a + 1)) + (~ a + 1))) + (a | ~ ((a & ~ (~ a + 1)) + (~ a + 1))))) - 2) + 1,((-(a^(a|(-a)))))
(((c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (c | (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) + (c & ~ (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (~ c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1))))) & ((((((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) + ((c | c) - (c & c))) + 1) + ((- (((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) - 1) | (- ((c | c) - (c & c)) - 1)))) * (((c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (c | (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) + (c & ~ (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (~ c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1))))) | ((((((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) + ((c | c) - (c & c))) + 1) + ((- (((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) - 1) | (- ((c | c) - (c & c)) - 1)))) + (((c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (c | (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) + (c & ~ (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (~ c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1))))) & ~ ((((((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) + ((c | c) - (c & c))) + 1) + ((- (((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) - 1) | (- ((c | c) - (c & c)) - 1)))) * (~ ((c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (c | (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) + (c & ~ (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1)))) * (~ c & (((~ (e - 1) & ~ ((c + ~ e) + 1)) + (~ (e - 1) & ~ ((c + ~ e) + 1))) - (~ (e - 1) ^ ((c + ~ e) + 1))))) & ((((((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) + ((c | c) - (c & c))) + 1) + ((- (((- d - 1) & c) * ((- d - 1) | c) + ((- d - 1) & ~ c) * (~ (- d - 1) & c)) - 1) | (- ((c | c) - (c & c)) - 1)))),(((c*((-e)-(c-e)))*(((~d)*c)|(c^c))))
~ ((~ (((((e - e) - ((e | ~ e) + (e | ~ e))) - 2) ^ (~ c + 1)) - ((~ (((e - e) - ((e | ~ e) + (e | ~ e))) - 2) & (~ c + 1)) + (~ (((e - e) - ((e | ~ e) + (e | ~ e))) - 2) & (~ c + 1)))) + 1) - 1),((-(-((e^e)-(-c)))))
(((((~ b | a) - ~ b) ^ a) - ((~ ((~ b | a) - ~ b) & a) << 1)) ^ ((((((b + ((b & ~ e) + e)) + 1) + ((- b - 1) | (- ((b & ~ e) + e) - 1))) + (((~ e | ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + e) + 1)) + 1) + ((- (((b + ((b & ~ e) + e)) + 1) + ((- b - 1) | (- ((b & ~ e) + e) - 1))) - 1) | (- (((~ e | ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + e) + 1) - 1)))) - ((~ ((((~ b | a) - ~ b) ^ a) - ((~ ((~ b | a) - ~ b) & a) << 1)) & ((((((b + ((b & ~ e) + e)) + 1) + ((- b - 1) | (- ((b & ~ e) + e) - 1))) + (((~ e | ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + e) + 1)) + 1) + ((- (((b + ((b & ~ e) + e)) + 1) + ((- b - 1) | (- ((b & ~ e) + e) - 1))) - 1) | (- (((~ e | ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + e) + 1) - 1)))) + (~ ((((~ b | a) - ~ b) ^ a) - ((~ ((~ b | a) - ~ b) & a) << 1)) & ((((((b + ((b & ~ e) + e)) + 1) + ((- b - 1) | (- ((b & ~ e) + e) - 1))) + (((~ e | ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + e) + 1)) + 1) + ((- (((b + ((b & ~ e) + e)) + 1) + ((- b - 1) | (- ((b & ~ e) + e) - 1))) - 1) | (- (((~ e | ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + e) + 1) - 1))))),((((b&a)-a)-((b|(b|e))|(e&(e*e)))))
(d ^ ((~ (((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1) + ~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)) + 1)) + ((d & ((~ (((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1) + ~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)) + 1)) << 1),((d+((-(e*d))-(a^a))))
(~ (((((d ^ ~ b) + ((d | b) + (d | b))) + 1) & d) * ((((d ^ ~ b) + ((d | b) + (d | b))) + 1) | d) + ((((d ^ ~ b) + ((d | b) + (d | b))) + 1) & ~ d) * (~ (((d ^ ~ b) + ((d | b) + (d | b))) + 1) & d)) | (~ ((((((~ b | b) - ~ b) & ~ c) + c) | ((d & ~ b) + b)) + (((((~ b | b) - ~ b) & ~ c) + c) & ((d & ~ b) + b))) + 1)) - ~ (((((d ^ ~ b) + ((d | b) + (d | b))) + 1) & d) * ((((d ^ ~ b) + ((d | b) + (d | b))) + 1) | d) + ((((d ^ ~ b) + ((d | b) + (d | b))) + 1) & ~ d) * (~ (((d ^ ~ b) + ((d | b) + (d | b))) + 1) & d)),((((d+b)*d)&(-(((b&b)|c)+(d|b)))))
(((~ d | ((~ (a - 1) ^ d) + ((~ (a - 1) & d) + (~ (a - 1) & d)))) - ~ d) & ~ (~ (((e & a) * (e | a) + (e & ~ a) * (~ e & a)) - 1))) + ~ (((e & a) * (e | a) + (e & ~ a) * (~ e & a)) - 1),(((d&((-a)+d))|(-(e*a))))
((((((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e) + (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e)) - (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) ^ e)) & (((((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ~ ((((c - ~ e) - 1) & ~ d) + d)) - (~ (((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ((((c - ~ e) - 1) & ~ d) + d)))) * ((((((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e) + (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e)) - (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) ^ e)) | (((((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ~ ((((c - ~ e) - 1) & ~ d) + d)) - (~ (((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ((((c - ~ e) - 1) & ~ d) + d)))) + ((((((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e) + (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e)) - (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) ^ e)) & ~ (((((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ~ ((((c - ~ e) - 1) & ~ d) + d)) - (~ (((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ((((c - ~ e) - 1) & ~ d) + d)))) * (~ (((((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e) + (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) & ~ e)) - (((((~ c | e) - ~ c) | d) - (((~ c | e) - ~ c) & d)) ^ e)) & (((((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ~ ((((c - ~ e) - 1) & ~ d) + d)) - (~ (((((c ^ ~ c) + ((c | c) + (c | c))) + 1) & ~ ((d | d) + (d & d))) + ((d | d) + (d & d))) & ((((c - ~ e) - 1) & ~ d) + d)))),(((((c&e)^d)-e)*(((c+c)|(d+d))-((c+e)|d))))
~ (~ (((((((((- c - 1) + d) + 1) + ((- (- c - 1) - 1) | (- d - 1))) + ~ (((b ^ ~ b) + ((b | b) + (b | b))) + 1)) + 1) ^ d) + ((((((((- c - 1) + d) + 1) + ((- (- c - 1) - 1) | (- d - 1))) + ~ (((b ^ ~ b) + ((b | b) + (b | b))) + 1)) + 1) & d) << 1)) - 1) - 1),((-(-((((~c)|d)-(b+b))+d))))
(((a - d) - 1) - ~ (((((a + c) + 1) + ((- a - 1) | (- c - 1))) & d) * ((((a + c) + 1) + ((- a - 1) | (- c - 1))) | d) + ((((a + c) + 1) + ((- a - 1) | (- c - 1))) & ~ d) * (~ (((a + c) + 1) + ((- a - 1) | (- c - 1))) & d))) - 1,(((~(d-a))+((a|c)*d)))
((((b + ~ c) + 1) - (((((c & ~ c) + c) - (((c | b) << 1) - (c ^ b))) - ((((c & ~ c) + c) | ~ (((c | b) << 1) - (c ^ b))) << 1)) - 2)) - ((((b + ~ c) + 1) | ~ (((((c & ~ c) + c) - (((c | b) << 1) - (c ^ b))) - ((((c & ~ c) + c) | ~ (((c | b) << 1) - (c ^ b))) << 1)) - 2)) + (((b + ~ c) + 1) | ~ (((((c & ~ c) + c) - (((c | b) << 1) - (c ^ b))) - ((((c & ~ c) + c) | ~ (((c | b) << 1) - (c ^ b))) << 1)) - 2)))) - 2,(((b-c)^((c|c)^(c+b))))
